;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
63;-57.0;-47.0;;-74.0;-76.0;-60.0;-90.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:00:232
64;-59.0;-56.0;-48.0;-74.0;;-72.0;-86.0;-80.0;;-110.0;-75.0;;1.0;3.1;00:02:00:335
65;;-56.0;-56.0;-74.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:00:436
66;-54.0;;-65.0;-74.0;;-67.0;-110.0;-76.0;-75.0;-79.0;;-82.0;1.0;3.1;00:02:00:544
67;-57.0;-47.0;;-73.0;-76.0;-61.0;-76.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:00:646
68;;-55.0;-48.0;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-75.0;;1.0;3.1;00:02:00:747
69;-46.0;-56.0;-64.0;-74.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:00:850
70;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:00:960
71;-57.0;-52.0;;-74.0;-76.0;;-76.0;-81.0;-75.0;-85.0;-75.0;;1.0;3.1;00:02:01:061
72;;-56.0;-48.0;-66.0;-68.0;-72.0;-86.0;-70.0;-81.0;-84.0;;-86.0;1.0;3.1;00:02:01:167
73;-44.0;;-65.0;-74.0;-82.0;-67.0;-110.0;-77.0;-81.0;;-78.0;-86.0;1.0;3.1;00:02:01:271
74;-54.0;-47.0;-64.0;;-77.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:01:379
75;-58.0;-52.0;;-73.0;-76.0;;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:01:486
76;;-56.0;-53.0;;-69.0;-72.0;-86.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:01:593
77;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-79.0;-78.0;;1.0;3.1;00:02:01:700
78;-57.0;-47.0;;-73.0;-76.0;-60.0;-89.0;-80.0;-74.0;-79.0;;-82.0;1.0;3.1;00:02:01:804
79;-56.0;-50.0;-48.0;-73.0;;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:01:906
80;;-56.0;-53.0;;-68.0;-72.0;-84.0;-70.0;-81.0;;-78.0;-85.0;1.0;3.1;00:02:02:014
81;-54.0;;-65.0;-76.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:02:118
82;-57.0;-47.0;;-74.0;-76.0;-61.0;-89.0;-80.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:02:220
83;-59.0;-56.0;-48.0;-73.0;;-72.0;-85.0;-80.0;;-110.0;-75.0;;1.0;3.1;00:02:02:323
84;;-56.0;-54.0;-74.0;-68.0;;-85.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:02:424
85;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:02:526
86;-57.0;-45.0;;-74.0;-76.0;-60.0;-76.0;-80.0;-74.0;;-77.0;-82.0;1.0;3.1;00:02:02:630
87;;-56.0;-49.0;-60.0;-68.0;-72.0;-85.0;-67.0;-80.0;-84.0;-75.0;;1.0;3.1;00:02:02:734
88;-46.0;-55.0;-65.0;-74.0;-69.0;;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:02:838
89;-54.0;;-65.0;-110.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:02:938
90;-57.0;-47.0;;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:03:040
91;;-56.0;-48.0;-66.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;;-85.0;1.0;3.1;00:02:03:145
92;-46.0;;-65.0;-74.0;-68.0;;;-74.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:03:250
93;-54.0;;-65.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:03:351
94;-57.0;-52.0;;-74.0;-76.0;;-76.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:03:457
95;;-55.0;-48.0;-68.0;-69.0;-72.0;-85.0;-69.0;-80.0;-85.0;;-85.0;1.0;3.1;00:02:03:561
96;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-80.0;-110.0;-79.0;;1.0;3.1;00:02:03:663
97;-56.0;-47.0;-52.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-110.0;;-82.0;1.0;3.1;00:02:03:772
98;;-56.0;-55.0;;-68.0;-72.0;-85.0;-69.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:03:974
99;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-110.0;-78.0;;1.0;3.1;00:02:04:077
100;-57.0;-47.0;;;-76.0;-67.0;-110.0;;-74.0;-110.0;;-82.0;1.0;3.1;00:02:04:178
