;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
21430;-55.0;-53.0;-65.0;-66.0;-62.0;-72.0;-75.0;-75.0;-78.0;-77.0;-90.0;-86.0;5.0;3.1;00:35:51:841
21432;-59.0;-58.0;-67.0;-65.0;-65.0;-67.0;-87.0;-76.0;-75.0;-83.0;-83.0;-81.0;5.0;3.1;00:35:52:049
21434;-59.0;-53.0;-74.0;-66.0;-63.0;-73.0;-75.0;-80.0;-78.0;-77.0;-88.0;-85.0;5.0;3.1;00:35:52:250
21436;-59.0;-57.0;-59.0;-67.0;-65.0;-67.0;-87.0;-81.0;-85.0;-83.0;-82.0;-81.0;5.0;3.1;00:35:52:459
21438;-59.0;-53.0;-72.0;-66.0;-65.0;-73.0;-75.0;-78.0;-87.0;-85.0;-88.0;-86.0;5.0;3.1;00:35:52:664
21440;-56.0;-57.0;-59.0;-59.0;-65.0;-67.0;-80.0;-82.0;-86.0;-76.0;-83.0;-81.0;5.0;3.1;00:35:52:876
21442;-59.0;-57.0;-72.0;-66.0;-65.0;-73.0;-75.0;-78.0;-75.0;-77.0;-88.0;-86.0;5.0;3.1;00:35:53:083
21444;-55.0;-55.0;-57.0;-58.0;-65.0;-67.0;-79.0;-81.0;-85.0;-76.0;-83.0;-81.0;5.0;3.1;00:35:53:304
21446;-59.0;-53.0;-73.0;-72.0;-65.0;-73.0;-75.0;-76.0;-75.0;-85.0;-88.0;-87.0;5.0;3.1;00:35:53:513
21448;-55.0;-58.0;-66.0;-66.0;-65.0;-67.0;-87.0;-80.0;-85.0;-77.0;-83.0;-81.0;5.0;3.1;00:35:53:729
21450;-59.0;-53.0;-59.0;-72.0;-65.0;-73.0;-75.0;-76.0;-86.0;-85.0;-83.0;-82.0;5.0;3.1;00:35:53:937
21452;-59.0;-58.0;-65.0;-66.0;-65.0;-67.0;-88.0;-80.0;-85.0;-77.0;-83.0;-81.0;5.0;3.1;00:35:54:140
21454;-59.0;-53.0;-59.0;-65.0;-65.0;-63.0;-74.0;-76.0;-86.0;-84.0;-89.0;-82.0;5.0;3.1;00:35:54:353
21456;-59.0;-58.0;-65.0;-66.0;-65.0;-73.0;-88.0;-78.0;-86.0;-77.0;-80.0;-86.0;5.0;3.1;00:35:54:554
21458;-59.0;-57.0;-59.0;-65.0;-65.0;-63.0;-75.0;-78.0;-86.0;-84.0;-89.0;-82.0;5.0;3.1;00:35:54:769
21460;-59.0;-58.0;-65.0;-66.0;-65.0;-69.0;-75.0;-78.0;-78.0;-84.0;-89.0;-85.0;5.0;3.1;00:35:54:979
21462;-60.0;-57.0;-57.0;-65.0;-64.0;-67.0;-79.0;-76.0;-75.0;-85.0;-83.0;-81.0;5.0;3.1;00:35:55:198
21464;-55.0;-53.0;-67.0;-66.0;-62.0;-73.0;-75.0;-80.0;-78.0;-77.0;-90.0;-85.0;5.0;3.1;00:35:55:403
21466;-60.0;-57.0;-65.0;-65.0;-65.0;-67.0;-87.0;-76.0;-74.0;-83.0;-83.0;-81.0;5.0;3.1;00:35:55:620
21468;-60.0;-53.0;-65.0;-66.0;-62.0;-73.0;-75.0;-80.0;-78.0;-77.0;-89.0;-86.0;5.0;3.1;00:35:55:822
21474;-55.0;-58.0;-59.0;-59.0;-65.0;-67.0;-79.0;-81.0;-85.0;-76.0;-83.0;-82.0;5.0;3.1;00:35:56:464
21476;-59.0;-57.0;-72.0;-65.0;-65.0;-73.0;-75.0;-78.0;-75.0;-85.0;-88.0;-84.0;5.0;3.1;00:35:56:680
21478;-55.0;-58.0;-65.0;-66.0;-65.0;-67.0;-79.0;-81.0;-85.0;-76.0;-83.0;-81.0;5.0;3.1;00:35:56:900
21484;-59.0;-53.0;-59.0;-65.0;-65.0;-63.0;-75.0;-76.0;-86.0;-85.0;-88.0;-82.0;5.0;3.1;00:35:57:522
21488;-59.0;-53.0;-59.0;-65.0;-65.0;-62.0;-74.0;-76.0;-86.0;-84.0;-89.0;-82.0;5.0;3.1;00:35:57:938
21490;-59.0;-58.0;-65.0;-66.0;-65.0;-73.0;-85.0;-78.0;-78.0;-77.0;-80.0;-85.0;5.0;3.1;00:35:58:147
21492;-59.0;-57.0;-59.0;-65.0;-65.0;-67.0;-75.0;-76.0;-86.0;-85.0;-89.0;-82.0;5.0;3.1;00:35:58:358
21496;-59.0;-57.0;-57.0;-65.0;-65.0;-67.0;-79.0;-76.0;-75.0;-85.0;-88.0;-81.0;5.0;3.1;00:35:58:771
21498;-55.0;-53.0;-65.0;-66.0;-61.0;-73.0;-75.0;-80.0;-78.0;-77.0;-89.0;-86.0;5.0;3.1;00:35:58:980
21502;-59.0;-53.0;-59.0;-65.0;-64.0;-63.0;-75.0;-76.0;-86.0;-85.0;-82.0;-82.0;5.0;3.1;00:35:59:500
21504;-59.0;-58.0;-65.0;-66.0;-65.0;-67.0;-87.0;-78.0;-85.0;-77.0;-83.0;-81.0;5.0;3.1;00:35:59:716
21506;-59.0;-53.0;-59.0;-67.0;-65.0;-63.0;-74.0;-76.0;-87.0;-84.0;-89.0;-82.0;5.0;3.1;00:35:59:921
21508;-59.0;-58.0;-65.0;-66.0;-65.0;-73.0;-87.0;-78.0;-85.0;-77.0;-80.0;-86.0;5.0;3.1;00:36:00:130
21510;-60.0;-57.0;-59.0;-65.0;-66.0;-67.0;-75.0;-76.0;-86.0;-85.0;-88.0;-82.0;5.0;3.1;00:36:00:338
21514;-60.0;-57.0;-65.0;-65.0;-65.0;-67.0;-79.0;-75.0;-75.0;-85.0;-88.0;-81.0;5.0;3.1;00:36:00:767
